 Source Port, Destination Port,Flow Bytes/s, Flow Duration, SYN Flag Count,Total Length of Fwd Packets, Protocol, Label
58253,24629,255319.1489,47,0,12,6,Syn
56660,36675,12000000,1,0,12,6,Syn
10324,25861,218181.8182,110,0,12,6,Syn
23161,19984,12000000,1,0,12,6,Syn
52855,22255,6000000,2,0,12,6,Syn
6031,15620,247422.6804,97,0,12,6,Syn
17171,31671,235294.1176,102,0,12,6,Syn
20215,60304,242424.2424,99,0,12,6,Syn
22299,25578,235294.1176,102,0,12,6,Syn
27396,42329,12000000,1,0,12,6,Syn
37314,50958,12000000,1,0,12,6,Syn
63647,60859,461538.4615,52,0,12,6,Syn
35318,18846,406779.661,59,0,12,6,Syn
46380,31217,244897.9592,49,0,12,6,Syn
18592,16942,461538.4615,52,0,12,6,Syn
9865,57387,6000000,2,0,12,6,Syn
43959,43327,470588.2353,51,0,12,6,Syn
64520,36487,12000000,1,0,12,6,Syn
52190,54739,12000000,1,0,12,6,Syn
61990,23950,12000000,1,0,12,6,Syn
60692,33275,6.758625273,3551018,0,24,6,Syn
43797,14091,184615.3846,130,0,12,6,Syn
39035,43316,285714.2857,84,0,12,6,Syn
18035,18035,1.983210054,66558759,0,84,6,Syn
6171,40394,12000000,1,0,12,6,Syn
55378,52036,237623.7624,101,0,12,6,Syn
49055,3236,444444.4444,54,0,12,6,Syn
24396,53614,210526.3158,114,0,12,6,Syn
12300,47364,12000000,1,0,12,6,Syn
13122,1199,461538.4615,52,0,12,6,Syn
31721,10483,12000000,1,0,12,6,Syn
22679,22679,1.49134257,64371528,0,72,6,Syn
12128,41440,228571.4286,105,0,12,6,Syn
55497,55497,2.760060767,47825034,0,72,6,Syn
12259,2016,12000000,1,0,12,6,Syn
54381,4438,228571.4286,105,0,12,6,Syn
54761,14899,224299.0654,107,0,12,6,Syn
13819,63983,240000,50,0,12,6,Syn
18076,52898,208695.6522,115,0,12,6,Syn
30634,18987,244897.9592,49,0,12,6,Syn
20565,20565,2.079342062,23084225,0,36,6,Syn
46970,46970,1.72893825,55525407,0,72,6,Syn
27864,46329,428571.4286,56,0,12,6,Syn
63286,24878,6000000,2,0,12,6,Syn
38780,25125,6000000,2,0,12,6,Syn
619,807,400000,60,0,12,6,Syn
43877,33631,12000000,1,0,12,6,Syn
62763,36503,208695.6522,115,0,12,6,Syn
24579,61152,12000000,1,0,12,6,Syn
22930,16856,242424.2424,99,0,12,6,Syn
11328,42283,12000000,1,0,12,6,Syn
28151,40884,5.182273515,4631172,0,24,6,Syn
62684,31684,12000000,1,0,12,6,Syn
41420,15570,352941.1765,68,0,12,6,Syn
37912,35690,195121.9512,123,0,12,6,Syn
47601,45261,235294.1176,102,0,12,6,Syn
12942,27764,237623.7624,101,0,12,6,Syn
28732,15596,237623.7624,101,0,12,6,Syn
36425,48237,240000,50,0,12,6,Syn
17382,62249,12000000,1,0,12,6,Syn
39667,39667,1.810694991,59645606,0,84,6,Syn
61850,48687,294666666.7,3,0,884,17,Syn
35598,9059,12000000,1,0,12,6,Syn
5622,59650,250000,48,0,12,6,Syn
22808,43956,12000000,1,0,12,6,Syn
33496,20156,12000000,1,0,12,6,Syn
49468,62701,244897.9592,49,0,12,6,Syn
5229,5761,128342.246,187,0,12,6,Syn
28015,20661,6000000,2,0,12,6,Syn
48873,48973,250000,48,0,12,6,Syn
