 Source Port, Destination Port,Flow Bytes/s, Flow Duration, SYN Flag Count,Total Length of Fwd Packets, Protocol, Label
19998,57654,228571.4286,105,0,12,6,Syn
6709,5421,480000,50,0,12,6,Syn
21532,1239,230769.2308,52,0,12,6,Syn
51562,24496,6000000,2,0,12,6,Syn
11574,19113,177777.7778,135,0,12,6,Syn
63834,19712,237623.7624,101,0,12,6,Syn
5855,57836,233009.7087,103,0,12,6,Syn
10547,44944,235294.1176,102,0,12,6,Syn
15411,17751,12000000,1,0,12,6,Syn
8554,54675,6000000,2,0,12,6,Syn
42578,64305,12000000,1,0,12,6,Syn
41682,10934,12000000,1,0,12,6,Syn
24687,24768,12000000,1,0,12,6,Syn
59065,6046,6000000,2,0,12,6,Syn
14016,50646,12000000,1,0,12,6,Syn
56879,7674,212389.3805,113,0,12,6,Syn
64313,14728,470588.2353,51,0,12,6,Syn
57621,62734,144578.3133,166,0,12,6,Syn
54206,53703,12000000,1,0,12,6,Syn
36631,62954,436363.6364,55,0,12,6,Syn
24648,61643,272727.2727,88,0,12,6,Syn
42138,31937,12000000,1,0,12,6,Syn
41751,21473,12000000,1,0,12,6,Syn
22705,9762,12000000,1,0,12,6,Syn
27349,25150,237623.7624,101,0,12,6,Syn
46441,18724,12000000,1,0,12,6,Syn
55619,52922,12000000,1,0,12,6,Syn
23034,58730,12000000,1,0,12,6,Syn
39481,41142,230769.2308,104,0,12,6,Syn
38794,38794,1.612059332,59551158,0,72,6,Syn
64381,61711,6000000,2,0,12,6,Syn
946,719,12000000,1,0,12,6,Syn
62782,62354,196721.3115,122,0,12,6,Syn
29314,17975,12000000,1,0,12,6,Syn
56414,18391,12000000,1,0,12,6,Syn
62224,2311,12000000,1,0,12,6,Syn
899,899,1.538573907,46796582,0,48,6,Syn
6348,37392,12000000,1,0,12,6,Syn
65424,35462,413793.1034,58,0,12,6,Syn
62339,1923,1.616729758,59379126,0,60,6,Syn
27200,21519,6000000,2,0,12,6,Syn
38467,6426,12000000,1,0,12,6,Syn
40675,40675,1.549010579,38734403,0,48,6,Syn
5152,7178,12000000,1,0,12,6,Syn
10542,35091,230769.2308,104,0,12,6,Syn
46092,8356,220183.4862,109,0,12,6,Syn
65030,56313,250000,48,0,12,6,Syn
62216,26041,240000,50,0,12,6,Syn
18419,5520,461538.4615,52,0,12,6,Syn
46883,25834,193548.3871,124,0,12,6,Syn
60729,7068,333333.3333,72,0,12,6,Syn
15131,15131,1.517052126,55370543,0,60,6,Syn
31754,15368,235294.1176,102,0,12,6,Syn
33841,46828,352941.1765,68,0,12,6,Syn
15954,18199,12000000,1,0,12,6,Syn
22365,54188,444444.4444,54,0,12,6,Syn
24760,64407,260869.5652,46,0,12,6,Syn
57923,32666,12000000,1,0,12,6,Syn
7866,7866,1.048945868,22880113,0,24,6,Syn
16516,14958,12000000,1,0,12,6,Syn
38045,32900,12000000,1,0,12,6,Syn
60025,64159,12000000,1,0,12,6,Syn
50055,31931,12000000,1,0,12,6,Syn
35294,34373,235294.1176,51,0,12,6,Syn
31481,34196,12000000,1,0,12,6,Syn
53327,64846,12000000,1,0,12,6,Syn
48722,27195,12000000,1,0,12,6,Syn
719,208,1.95650312,61333917,0,84,6,Syn
21467,15273,230769.2308,104,0,12,6,Syn
64251,45903,6000000,2,0,12,6,Syn
62767,50410,12000000,1,0,12,6,Syn
62146,11616,12000000,1,0,12,6,Syn
60552,64639,237623.7624,101,0,12,6,Syn
30084,31988,12000000,1,0,12,6,Syn
