FwdPacketLengthMax,Total Length of Fwd Packets,Flow Bytes/s, Protocol, Source Port, ACK Flag Count, Flow Duration, Label
6,12,228571.4286,6,19998,1,105,Syn
6,12,480000,6,6709,1,50,Syn
6,12,230769.2308,6,21532,1,52,Syn
6,12,6000000,6,51562,1,2,Syn
6,12,177777.7778,6,11574,1,135,Syn
6,12,237623.7624,6,63834,1,101,Syn
6,12,233009.7087,6,5855,1,103,Syn
6,12,235294.1176,6,10547,1,102,Syn
6,12,12000000,6,15411,1,1,Syn
6,12,6000000,6,8554,1,2,Syn
6,12,12000000,6,42578,1,1,Syn
6,12,12000000,6,41682,1,1,Syn
6,12,12000000,6,24687,1,1,Syn
6,12,6000000,6,59065,1,2,Syn
6,12,12000000,6,14016,1,1,Syn
6,12,212389.3805,6,56879,1,113,Syn
6,12,470588.2353,6,64313,1,51,Syn
6,12,144578.3133,6,57621,1,166,Syn
6,12,12000000,6,54206,1,1,Syn
6,12,436363.6364,6,36631,1,55,Syn
6,12,272727.2727,6,24648,1,88,Syn
6,12,12000000,6,42138,1,1,Syn
6,12,12000000,6,41751,1,1,Syn
6,12,12000000,6,22705,1,1,Syn
6,12,237623.7624,6,27349,1,101,Syn
6,12,12000000,6,46441,1,1,Syn
6,12,12000000,6,55619,1,1,Syn
6,12,12000000,6,23034,1,1,Syn
6,12,230769.2308,6,39481,1,104,Syn
6,72,1.612059332,6,38794,1,59551158,Syn
6,12,6000000,6,64381,1,2,Syn
6,12,12000000,6,946,1,1,Syn
6,12,196721.3115,6,62782,1,122,Syn
6,12,12000000,6,29314,1,1,Syn
6,12,12000000,6,56414,1,1,Syn
6,12,12000000,6,62224,1,1,Syn
6,48,1.538573907,6,899,1,46796582,Syn
6,12,12000000,6,6348,1,1,Syn
6,12,413793.1034,6,65424,1,58,Syn
6,60,1.616729758,6,62339,1,59379126,Syn
6,12,6000000,6,27200,1,2,Syn
6,12,12000000,6,38467,1,1,Syn
6,48,1.549010579,6,40675,1,38734403,Syn
6,12,12000000,6,5152,1,1,Syn
6,12,230769.2308,6,10542,1,104,Syn
6,12,220183.4862,6,46092,1,109,Syn
6,12,250000,6,65030,1,48,Syn
6,12,240000,6,62216,1,50,Syn
6,12,461538.4615,6,18419,1,52,Syn
6,12,193548.3871,6,46883,1,124,Syn
6,12,333333.3333,6,60729,1,72,Syn
6,60,1.517052126,6,15131,1,55370543,Syn
6,12,235294.1176,6,31754,1,102,Syn
6,12,352941.1765,6,33841,1,68,Syn
6,12,12000000,6,15954,1,1,Syn
6,12,444444.4444,6,22365,1,54,Syn
6,12,260869.5652,6,24760,1,46,Syn
6,12,12000000,6,57923,1,1,Syn
6,24,1.048945868,6,7866,1,22880113,Syn
6,12,12000000,6,16516,1,1,Syn
6,12,12000000,6,38045,1,1,Syn
6,12,12000000,6,60025,1,1,Syn
6,12,12000000,6,50055,1,1,Syn
6,12,235294.1176,6,35294,1,51,Syn
6,12,12000000,6,31481,1,1,Syn
6,12,12000000,6,53327,1,1,Syn
6,12,12000000,6,48722,1,1,Syn
6,84,1.95650312,6,719,1,61333917,Syn
6,12,230769.2308,6,21467,1,104,Syn
6,12,6000000,6,64251,1,2,Syn
6,12,12000000,6,62767,1,1,Syn
6,12,12000000,6,62146,1,1,Syn
6,12,237623.7624,6,60552,1,101,Syn
6,12,12000000,6,30084,1,1,Syn
6,12,226415.0943,6,63606,1,106,Syn
6,12,237623.7624,6,9567,1,101,Syn
6,12,12000000,6,25958,1,1,Syn
6,12,338028.169,6,41049,1,71,Syn
6,12,12000000,6,63939,1,1,Syn
6,12,12000000,6,42817,1,1,Syn
6,12,235294.1176,6,34143,1,102,Syn
6,12,12000000,6,60924,1,1,Syn
6,12,260869.5652,6,23148,1,46,Syn
6,12,240000,6,12130,1,100,Syn
6,12,12000000,6,17713,1,1,Syn
6,12,12000000,6,49706,1,1,Syn
6,12,196721.3115,6,23653,1,122,Syn
6,12,444444.4444,6,35859,1,54,Syn
6,12,250000,6,17107,1,48,Syn
6,12,162162.1622,6,8671,1,74,Syn
6,108,2.460526924,6,34437,1,68278058,Syn
6,12,12000000,6,57912,1,1,Syn
6,12,342857.1429,6,25963,1,70,Syn
6,12,12000000,6,65437,1,1,Syn
6,12,6000000,6,46069,1,2,Syn
6,72,2.173704848,6,28619,1,55205287,Syn
6,24,1.567827142,6,41728,1,22961715,Syn
6,12,12000000,6,53433,1,1,Syn
6,12,352941.1765,6,32774,1,68,Syn
6,36,3.135901614,6,63738,1,22959904,Syn
6,12,12000000,6,45798,1,1,Syn
6,12,184615.3846,6,45791,1,130,Syn
6,12,169014.0845,6,53538,1,71,Syn
6,12,226415.0943,6,24793,1,106,Syn
6,12,12000000,6,52621,1,1,Syn
6,12,12000000,6,44740,1,1,Syn
6,12,235294.1176,6,62569,1,102,Syn
6,12,237623.7624,6,49672,1,101,Syn
6,12,250000,6,44555,1,48,Syn
6,12,228571.4286,6,34029,1,105,Syn
6,12,266666.6667,6,9754,1,45,Syn
6,12,12000000,6,18107,1,1,Syn
6,12,12000000,6,7277,1,1,Syn
6,12,12000000,6,63418,1,1,Syn
6,12,12000000,6,37977,1,1,Syn
6,12,12000000,6,52527,1,1,Syn
6,12,285714.2857,6,28526,1,84,Syn
6,12,358208.9552,6,64780,1,67,Syn
6,12,244897.9592,6,23136,1,49,Syn
6,12,206896.5517,6,39295,1,116,Syn
6,12,436363.6364,6,38170,1,55,Syn
6,12,347826.087,6,10059,1,69,Syn
6,60,1.849923339,6,20576,1,45407287,Syn
6,12,222222.2222,6,32272,1,108,Syn
6,12,12000000,6,14904,1,1,Syn
6,12,218181.8182,6,61877,1,110,Syn
6,12,12000000,6,49932,1,1,Syn
6,12,470588.2353,6,58061,1,51,Syn
6,12,452830.1887,6,8472,1,53,Syn
6,60,1.372333527,6,31572,1,61209610,Syn
6,12,250000,6,64961,1,48,Syn
6,12,237623.7624,6,6298,1,101,Syn
6,12,237623.7624,6,42510,1,101,Syn
6,12,6000000,6,6368,1,2,Syn
6,12,237623.7624,6,20712,1,101,Syn
6,12,12000000,6,36297,1,1,Syn
6,12,470588.2353,6,52295,1,51,Syn
6,12,12000000,6,63960,1,1,Syn
6,12,12000000,6,35148,1,1,Syn
6,12,12000000,6,41203,1,1,Syn
6,12,220183.4862,6,47701,1,109,Syn
6,12,228571.4286,6,21587,1,105,Syn
6,12,233009.7087,6,37825,1,103,Syn
6,12,250000,6,62270,1,48,Syn
6,12,162162.1622,6,33717,1,148,Syn
6,60,0.962465467,6,62476,1,62339899,Syn
6,12,176470.5882,6,19538,1,136,Syn
6,12,12000000,6,55964,1,1,Syn
6,12,201680.6723,6,6482,1,119,Syn
6,72,1.945327507,6,63504,1,55517644,Syn
6,12,220183.4862,6,20532,1,109,Syn
6,12,12000000,6,63395,1,1,Syn
6,12,240000,6,59007,1,50,Syn
6,12,260869.5652,6,61014,1,46,Syn
6,12,12000000,6,50685,1,1,Syn
6,12,12000000,6,37144,1,1,Syn
6,12,244897.9592,6,44881,1,98,Syn
6,72,1.287330832,6,63126,1,65251292,Syn
6,12,6000000,6,9589,1,2,Syn
6,12,255319.1489,6,50045,1,47,Syn
6,12,363636.3636,6,15689,1,66,Syn
6,12,237623.7624,6,15101,1,101,Syn
6,12,12000000,6,983,1,1,Syn
6,12,12000000,6,38515,1,1,Syn
6,12,12000000,6,9028,1,1,Syn
6,12,216216.2162,6,49520,1,111,Syn
6,12,187500,6,19356,1,128,Syn
6,12,218181.8182,6,8375,1,110,Syn
6,48,1.769009431,6,27128,1,40700744,Syn
6,12,12000000,6,52125,1,1,Syn
6,12,12000000,6,26191,1,1,Syn
6,12,12000000,6,17435,1,1,Syn
6,12,12000000,6,27710,1,1,Syn
6,12,208695.6522,6,58935,1,115,Syn
6,12,12000000,6,25879,1,1,Syn
6,12,240000,6,64254,1,50,Syn
6,12,12000000,6,14304,1,1,Syn
6,12,240000,6,60494,1,100,Syn
6,12,12000000,6,26792,1,1,Syn
6,12,12000000,6,13004,1,1,Syn
